cleaned_headline,is_satirical,source
In Memoriam : Bachar al-Assad,1,legorafi
Les mauvais coups de 2024,1,legorafi
Bayer lance son calendrier de l'Avent contenant 24 pesticides,1,legorafi
Gojira participera à la cérémonie de destitution du gouvernement Barnier,1,legorafi
"Emmanuel Macron s'engage à reconstruire Michel Barnier à l'identique "" d'ici 5 ans """,1,legorafi
Manuel Valls s'introduit à Matignon après qu'un employé a laissé une fenêtre ouverte,1,legorafi
In Memoriam : Michel Barnier (2024-2024),1,legorafi
"Comme le veut la procédure, Michel Barnier sera bien catapulté dès le coucher du soleil",1,legorafi
Il écrit un roman de 500 pages pendant son attente aux urgences,1,legorafi
Il devient la première personne à tester tous les programmes de son lave-linge,1,legorafi
"Dans une tribune, 100 lutins dénoncent l'invisibilisation de la Mère Noël",1,legorafi
"Après le succès de ""L'Amour ouf"", Gilles Lellouche annonce le tournage de la suite ""La routine reloue""",1,legorafi
Pourquoi votre ami expert en crypto est toujours locataire d'un studio ?,1,legorafi
Inflation – Cette année les calendriers de l'avent n'auront qu'une seule case,1,legorafi
Top 5 des organes à vendre pour financer vos trajets en train à Noël,1,legorafi
"Black Friday : Après avoir acheté une tondeuse à -50%, il recherche désormais un jardin",1,legorafi
Novembre – Le mois de trop ?,1,legorafi
"85% des Français regrettent que le Black Friday soit devenu ""trop commercial""",1,legorafi
"Pour réduire le déficit, Emmanuel Macron accepte d'être payé en visibilité",1,legorafi
Le générique des douze coups de midi de nouveau élu personnalité préférée des chômeurs et des retraités,1,legorafi
74% des Français affirment attendre le Black Friday pour racheter des fruits,1,legorafi
Pour ou contre les enfants ?,1,legorafi
"Paris 2026 – Pour lui succéder, Anne Hidalgo choisit un Vélib",1,legorafi
Le dentiste qui posait des questions à ses patients pendant leur détartrage enfin radié,1,legorafi
Le PSG prolonge Luis Enrique de deux éliminations supplémentaires en 1/8e de finale de Ligue des champions,1,legorafi
Pierre Palmade condamné à regarder ses vidéos tournées pendant le confinement,1,legorafi
"Avant d'accéder à cet article, souhaitez-vous arrondir votre somme pour soutenir Bernard Arnault ?",1,legorafi
Don de sperme : un militant RN demande si le laboratoire n'a pas le magazine Valeurs actuelles,1,legorafi
"Pour freiner la fonte des glaces, le gouvernement fait installer 3000 climatiseurs sur la banquise",1,legorafi
Top 11 des signes astrologiques mieux que le vôtre,1,legorafi
Prison ferme pour un salarié ayant réchauffé son reste de raclette dans le micro-ondes du bureau,1,legorafi
Fact-check : Peut-on sortir de chez soi quand il neige ?,1,legorafi
Test – Votre couple a-t-il plus d'avenir que le gouvernement ?,1,legorafi
Le gouvernement annonce la création d'une épreuve de harcèlement scolaire dès le brevet du collège,1,legorafi
"Standard&Poor's dégrade l'état de vos finances de ""Pas ouf"" à ""Pas folichon""",1,legorafi
"Pour ou contre l'expression "" chaud patate "" ?",1,legorafi
"L'intelligence artificielle ne sera jamais une menace pour l'humanité, selon ChatGPT",1,legorafi
Narcotrafic : Bruno Retailleau veut former des policiers renifleurs de stupéfiants,1,legorafi
"Benjamin Netanyahu bombarde le Pérou ""au cas où""",1,legorafi
"NRJ – À partir du 20 novembre, Manu dans le 6/10 va doubler vos impôts",1,legorafi
DAZN propose de rémunérer les téléspectateurs pour accéder à la chaîne,1,legorafi
"Procès du RN : à court d'argument, Marine Le Pen plaide les effets de Mercure en rétrograde",1,legorafi
Donald Trump nomme un partisan de la Terre plate à la tête de la NASA,1,legorafi
Test – Quel dispositif anti-SDF êtes-vous ?,1,legorafi
"Le Gorafi : ""Pourquoi nous rachetons CNEWS et FRANCE-SOIR""",1,legorafi
Spécial Lunettes : Ne plus les perdre,1,legorafi
"Match France-Israël – Pour ne pas être accusée d'antisémitisme, la France encaissera un but dans les cinq premières minutes",1,legorafi
"Selon une étude, nous aurions davantage besoin de jours fériés que de Jean-François Copé",1,legorafi
"France-Israël – Pour camoufler les chants antisémites, le stade de France diffusera des cris de singe",1,legorafi
Pour ou contre Jean-Luc Reichmann ?,1,legorafi
Valence – Le Premier ministre espagnol appelle les sinistrés à rester à l'abri chez eux lors de sa prochaine visite,1,legorafi
"Paris – Après les zones à trafic limité, Anne Hidalgo veut tester les zones sans Parisien",1,legorafi
"Selon une étude, la misère ne serait pas moins pénible au soleil",1,legorafi
"Il découvre qu'il n'aime toujours pas faire à manger, même avec un Air Fryer",1,legorafi
Test : Avec qui confondez-vous Quincy Jones ?,1,legorafi
34 chefs d'accusation pour devenir président,1,legorafi
Kim Jong-un envoie un missile de félicitations à Donald Trump,1,legorafi
"Elle tweete ""not my president"" après avoir passé dix jours à New-York en 2012",1,legorafi
Pour ou contre l'accrobranche ?,1,legorafi
Vladimir Poutine réélu président des Etats-Unis,1,legorafi
Kamala Harris refuse finalement l'investiture du parti Démocrate pour l'élection présidentielle américaine,1,legorafi
Donald Trump annonce qu'il accepte la défaite de Kamala Harris,1,legorafi
5000 pigeons voyageurs retrouvés dans une urne chez les Amish,1,legorafi
Nevada – Un journaliste de BFM TV violemment percuté en direct par une boule d'herbe séchée,1,legorafi
Snoop Dog promet d'allumer un joint pour chaque bulletin Kamala Harris dépouillé,1,legorafi
"Pour empêcher toute forme de fraude, le Kentucky remplace tous ses bulletins par des bulletins Donald Trump",1,legorafi
5 chiffres à savoir sur l'élection présidentielle américaine 2024,1,legorafi
5 choses que vous ne savez pas sur Kamala Harris,1,legorafi
5 choses que vous ne savez pas sur Donald Trump,1,legorafi
Direct Live Election 2024,1,legorafi
Trail : Il court 50 km pour obtenir un T-shirt,1,legorafi
"Un lycée marseillais intègre un bac pro ""guetteur""",1,legorafi
"Pour ne plus gêner les riverains, la sirène du premier mercredi du mois passe en mode Vibreur",1,legorafi
"Pour Halloween, des Français veulent se faire peur au cinéma en allant voir le film 4 Zéros",1,legorafi
Michel Barnier promet de n'utiliser le 49.3 que pour rendre hommage à Elisabeth Borne,1,legorafi
10 métaux lourd pour assaisonner son thon à la catalane,1,legorafi
Pour ou contre la colonne vertébrale ?,1,legorafi
Écologie – Agnès Pannier-Runacher s'engage à planter un arbre pour chaque promesse non tenue,1,legorafi
"En visite au Maroc, Emmanuel Macron achète pour 10 milliards d'euros de plats à tajine",1,legorafi
"Pour prévenir les accidents, les vélos seront désormais munis d'un habitacle et de 4 roues",1,legorafi
Bruno Retailleau propose de remplacer toutes les lois par des lois immigration,1,legorafi
"Son post Instagram "" petit run du dimanche matin "" obtient enfin un like",1,legorafi
Bruno Retailleau refuse que les migrants bénéficient gratuitement du passage à l'heure d'hiver,1,legorafi
Gare Montparnasse – La SNCF abandonne finalement son projet de cornemuses en libre-service,1,legorafi
Les meilleurs points de deal de l'Assemblée nationale,1,legorafi
Elon Musk donnera 5 millions de dollars à tous ceux qui dessinent des pénis sur les affiches de Kamala Harris,1,legorafi
Écologie – Israël s'engage à réduire de 80% le taux de plastique dans ses bombes,1,legorafi
Pour ou contre Châteauroux ?,1,legorafi
Ses parfaites connaissances de l'œuvre de Tolkien ne l'aident finalement pas à conclure,1,legorafi
Déficit : le gouvernement veut trouver 4 milliards en économisant sur les frais de bouche de Gérard Larcher,1,legorafi
Un requin devenu subitement cool depuis qu'il porte un collier avec une dent de surfeur,1,legorafi
6 astuces pour s'habituer à un génocide,1,legorafi
"Une battue organisée dans le Tarn-Et-Garonne pour retrouver la personne qui a ""bien aimé"" Joker 2",1,legorafi
Liban – La France demande aux Casques bleus de mettre un deuxième casque,1,legorafi
"Une étude révèle que demander 2 fois de suite ""Tu connais pas ça ??"" fait de vous un être détestable",1,legorafi
Les meilleures armures pour faire du vélo dans Paris en toute sécurité,1,legorafi
Emmanuel Macron décide de ne pas expliquer sa stratégie politique car les Français ne la comprendraient pas,1,legorafi
Aéroport CDG – Anne Hidalgo va limiter la vitesse sur les pistes à 50 km/h,1,legorafi
"Après son rachat par une société américaine, le Doliprane existera en version ""goût burger""",1,legorafi
Pour ou contre les tabourets ?,1,legorafi
"Pour faire remonter sa cote de popularité, Emmanuel Macron se déguise en phryge",1,legorafi
Bruno Le Maire fustige le bilan économique désastreux d'Antoine Armand,1,legorafi
Maltraitance en crèche : le lancer d'enfant désormais plus encadré,1,legorafi
Donald Trump se tire dans la main avec un M17 et gagne 3 points dans le Michigan,1,legorafi
Bruno Retailleau souhaite limiter les flux d'oiseaux migrateurs,1,legorafi
Le premier chat d'aveugle abandonne son maître dès la première sortie,1,legorafi
"Fact-check : Michel Barnier a-t-il vraiment enregistré Marine Le Pen dans son répertoire sous le nom ""ma vie"" ?",1,legorafi
Dossier – 100 raisons de parler des courges butternut plutôt que de l'actu,1,legorafi
"Profitant de la retraite de Nadal, Richard Gasquet annonce son retour",1,legorafi
Recettes d'automne : 8 façons de ne pas cuisiner le topinambour,1,legorafi
Fort Boyard : Les tigres finalement remplacés par Mathilde Panot,1,legorafi
Pascal Praud affirme que la tempête Kirk vient voler le travail des tempêtes françaises,1,legorafi
Une tondeuse à barbe prend sa retraite et se consacre aux poils pubiens,1,legorafi
"7 jours après avoir regardé le film ""Les Collègues"", il voit Patrick Bosso sortir de sa télé",1,legorafi
Le gouvernement annonce qu'il va diminuer les augmentations de baisses d'augmentation de diminution d'impôts,1,legorafi
Test : quel ministre sorti de nulle part êtes-vous ?,1,legorafi
Le Prix Nobel de médecine attribué à l'homme qui a découvert les micropuces 5G de Bill Gates dans les vaccins Covid,1,legorafi
"Selon une étude, sur un malentendu ça peut marcher",1,legorafi
"Narcotrafiquant, assassinat de Kennedy, combats clandestins : les nouvelles révélation sur l'Abbé Pierre",1,legorafi
Les Français estiment que Bruno Retailleau n'est pas une chance pour la France,1,legorafi
Insolite – Il ne boit pas d'alcool et personne ne lui fait la remarque,1,legorafi
""" 100 conseils pour dire à une femme de se calmer "" : le nouveau livre de Gérald Darmanin fait polémique",1,legorafi
"USA – Depuis le 1er Octobre, les tueries de masse sont interdites dans les lieux publics",1,legorafi
Le film Le Comte de Monte-Cristo bientôt adapté en livre,1,legorafi
"Effondrement de Niclounivis, la nouvelle attraction du Parc Astérix",1,legorafi
La France demande solennellement à Israël de bombarder le Liban plus discrètement,1,legorafi
100 astuces de Gérald Darmanin pour bien exploiter vos origines algériennes,1,legorafi
Anne Hidalgo s'enchaîne aux anneaux olympiques pour qu'ils restent à Paris,1,legorafi
Benjamin Netanyahou demande aux civils libanais de s'éloigner des sites abritant des civils,1,legorafi
"Pornhub – ""Bernard-Henri Lévy"" toujours les mots-clés les plus recherchés par Bernard-Henri Lévy",1,legorafi
Fact-check : Michel Barnier va-t-il vraiment jouer l'amant d'Emily In Paris dans la saison 5 ?,1,legorafi
"Après avoir tourné sur elle-même pendant des années, la Terre s'arrête pour vomir",1,legorafi
Le Japon affirme que la chasse au Paul Watson est uniquement dans un but scientifique,1,legorafi
"LCL lance un prêt ""Étudiant +"" pour aider les étudiants à rembourser leur prêt étudiant",1,legorafi
Autocensure – D'après une étude…Non rien,1,legorafi
"Pour "" ne pas oublier la gauche "", Michel Barnier nomme Lucie Castets au "" ministère des Bolas """,1,legorafi
"Après trente minutes passées sur X, un moine bouddhiste prête allégeance à Daech",1,legorafi
Affaire Mazan – Notre classement des hommes qui n'ont rien fait,1,legorafi
Michel Barnier souhaite nommer Ségolène Royal au self de Matignon,1,legorafi
Test : Quel médaillé olympique avez-vous déjà oublié ?,1,legorafi
"Exclusif – Selon Météo-France, le froid du mois de septembre était dû à l'arrivée d'air froid",1,legorafi
""" T'Choupi va sur le pot "" pressenti pour le Goncourt 2024",1,legorafi
"""Kaizen"" – Un escalier fait en coques RhinoShield retrouvé sur le flanc de l'Everest",1,legorafi
Un député RN surpris en train de faire son travail,1,legorafi
L'éveil Krav Maga bientôt enseigné dès la maternelle,1,legorafi
"Michel Barnier : "" Je représenterai tous les citoyens, qu'ils soient LR, Renaissance ou RN """,1,legorafi
"Accusé ""d'agir en mafieux"", Cyril Hanouna met une tête de cheval dans le slip du directeur de l'ARCOM",1,legorafi
"Pour son anniversaire, il reçoit un livre qu'il n'a pas envie de lire d'un ami qui ne l'a pas lu",1,legorafi
Anne Hidalgo veut limiter la vitesse des piétons dans Paris à 2km/h,1,legorafi
Donald Trump accuse les migrants de mettre de la crème dans la carbonara,1,legorafi
"Michel Barnier se dit ""ouvert"" à intégrer des ministres de gauche ""à condition qu'ils soient de droite""",1,legorafi
8 vins fruités et ronds en bouche pour se mettre une grosse cuite,1,legorafi
"Écologie – À partir du 15 septembre, les restaurants remplaceront leur papier toilette par un QR Code",1,legorafi
"Après les JO, les volontaires bénévoles appelés en renfort à l'Éducation nationale",1,legorafi
"L'enseignante suspendue pour avoir frappé un enfant, immédiatement recrutée comme CRS",1,legorafi
"Les cagnottes d'anniversaire en ligne officiellement reconnues comme ""tentatives d'extorsion en bande organisée""",1,legorafi
"L'homme qui disait ""prem' deg'"" plus de 3 fois par conversation n'a plus un seul ami",1,legorafi
LFP – Kim Jong-un félicite Vincent Labrune pour sa réélection,1,legorafi
"""Jennifer Lopez est de retour sur le marché, c'est bon ça !"" par Maurice, 57 ans, chef de rayon",1,legorafi
Marcus Thuram autorisé à rejoindre l'équipe paralympique de cécifoot,1,legorafi
"En souvenir des Jeux olympiques, Anne Hidalgo promet de garder la Seine sale",1,legorafi
Clairefontaine – Jules Koundé gravement blessé à la cheville après un entraînement en talons aiguilles,1,legorafi
3 choses que Center Parcs ne veut pas que vous sachiez,1,legorafi
Premier ministre : Emmanuel Macron reconnaît avoir consulté Akinator,1,legorafi
"Doigt d'honneur, bras d'honneur, Michel Barnier… 50 gestes efficaces pour insulter les Français",1,legorafi
5 choses à savoir sur Michel Barnier,1,legorafi
"Emmanuel Macron nomme la Phryge, mascotte des Jeux olympiques, au poste de Premier ministre",1,legorafi
"Jeux Paralympiques – Les frères Lebrun disqualifiés après avoir tenté de jouer dans la catégorie "" siamois """,1,legorafi
"Après 8 noyades, le comité paralympique annule finalement l'épreuve de natation-fauteuil",1,legorafi
Amélie Oudéa-Castéra plonge dans la station d'épuration d'Evry pour prouver qu'elle est baignable,1,legorafi
Make-A-Wish : Emmanuel Macron exauce le voeu d'un patient en lui dévoilant le nom du Premier ministre,1,legorafi
Nouveau Premier ministre : la piste Richard Anconina s'éloigne,1,legorafi
"Reformation d'Oasis – Gérald Darmanin annonce une "" tolérance zéro "" face à la recrudescence des reprises de ""Wonderwall""",1,legorafi
"Après avoir consulté Joe Biden, Emmanuel Macron nomme François Mitterrand Premier ministre",1,legorafi
La Ligue des champions débutera en mars pour laisser le temps aux clubs de comprendre la nouvelle formule,1,legorafi
Prof de techno : Pourquoi ?,1,legorafi
"En partant de l'Élysée, Emmanuel Macron a demandé à Lucie Castets de descendre les poubelles",1,legorafi
Emmanuel Macron déclare une trêve paralympique,1,legorafi
"Consultations – Emmanuel macron reçoit actuellement "" Pifou "", le marcassin chef de file du parti animaliste",1,legorafi
"Pour profiter de sa notoriété, Léon Marchand vend l'eau de son pédiluve",1,legorafi
"Pour donner un ton moins dramatique, il rajoute un ""émoji sourire"" à la fin de sa demande de rançon",1,legorafi
JO Paris – Un athlète paralympique déclare forfait après avoir échoué à prendre le métro,1,legorafi
"Pour compenser le prix de son offre, DAZN diffusera gratuitement les matchs des Girondins de Bordeaux",1,legorafi
Train – Tous les horaires des 30 prochaines années,1,legorafi
5 recommandations de l'OMS pour lutter contre la variole du singe,1,legorafi
"Sicile – Pour faciliter les recherches, les autorités demandent aux migrants d'éviter de faire naufrage dans la zone",1,legorafi
Paris – Les déficients visuels peuvent désormais vivre les agressions dans le métro en audiodescription,1,legorafi
Paris 2024 – Anne Hidalgo envisage de garder Tony Estanguet en vie après la fin des Jeux,1,legorafi
"Argenteuil – À sa grande surprise, sa moto en photo de profil peine à attirer les femmes",1,legorafi
Disparition à 88 ans de l'acteur qui interprétait César dans Astérix aux Jeux olympiques,1,legorafi
Notre sélection de Premiers ministres de droite quand on a une majorité de députés de gauche,1,legorafi
