cleaned_headline,is_satirical
"Pic de l'épidémie, campagne de vaccination… Ce qu'il faut savoir de l'épidémie de chikungunya à La Réunion",0
"300 milliards pour Apple, 210 pour Nvidia, 14 pour Nike… Les pertes boursières colossales des géants américains à Wall Street",0
Marseille : 12 ans de prison contre un psychiatre jugé pour viols et agression sexuelle sur des patientes,0
"Les États-Unis ne laisseront pas le Groenland devenir ""dépendant"" de la Chine, prévient Marco Rubio",0
"Congrès du PS : Olivier Faure suggère une ""plateforme commune de la gauche non mélenchoniste"" pour 2027",0
"Le Kremlin appelle l'Iran et les États-Unis à ""se concentrer sur les efforts diplomatiques"" concernant le nucléaire",0
"Nouvelle-Calédonie : Valls dénonce de nouvelles ""tentatives de déstabilisation"" de l'Azerbaïdjan et promet ""une réponse implacable""",0
Droits de douane de Trump : la Chine riposte en taxant à son tour les produits américains,0
"Avec un solde de 5,8 milliards d'euros, l'assurance vie enregistre son meilleur mois de février en près de 20 ans",0
"Vatican : le pape François pourrait apparaître dimanche en public après ""de nouvelles légères améliorations""",0
États-Unis : une escrimeuse disqualifiée pour avoir refusé de combattre contre un adversaire transgenre,0
Près de Lyon : la préfecture refuse l'ouverture du dimanche de The Village,0
Tours : un élève poignarde un camarade qui l'avait accusé de tricher pendant un contrôle,0
"Nantes : plus d'un mois après sa disparition, le jeune Axel retrouvé mort",0
"Ma mère, Dieu, et Sylvie VartandétrôneBlanche-Neigeau box-office français",0
"""Une création artistique élogieuse"", le compagnon d'Agnès Lassalle ému par la chanson hommage de Julien Clerc",0
"Confrontée à des ""difficultés"", la Renfe va retarder son développement en France",0
"""Le meilleur photobomb de tous les temps"" : Barack Obama apparaît par surprise sur une photo de famille",0
"Une rixe dans un squat de Lyon dégénère en coups de feu, un homme grièvement blessé",0
"Nike, Ralph Lauren, The North Face… La mode américaine, grande victime des droits de douane de Trump",0
Disparition de Julie Michel en Ariège en 2013 : la justice relance l'enquête,0
Corrèze : un élève de 11 ans coincé une nuit entière dans les toilettes de son collège,0
"Corée du Sud : 2 tonnes de cocaïne découvertes, plus grosse saisie de drogue du pays",0
"-4,26% au CAC 40, -4,95% pour le Dax… Les marchés européens clôturent en forte baisse, les États-Unis aussi dans le rouge",0
"Droits de douane : ""Nous faisons appel au patriotisme"" des entreprises françaises, lance Éric Lombard",0
"Au Nigeria, des attaques de villages provoquent la mort d'au moins 40 personnes",0
"Gabon : l'enquête sur les ""biens mal acquis"" de la famille Bongo en France prend fin",0
"Guerre en Ukraine : ""Nous saurons d'ici quelques semaines"" si la Russie veut la paix, affirme Marco Rubio",0
"Procès pour viols d'un psychiatre hospitalier à Marseille : ""le sauveur"" et ses ""esclaves sexuelles""",0
"Le ""Premier Folio"" de Shakespeare, volé puis retrouvé, exposé en Angleterre",0
Visualisez l'évolution du nombre de défaillances d'entreprises sur les douze derniers mois,0
Les climatosceptiques s'enthousiasment pour une étude… rédigée par l'intelligence artificielle d'Elon Musk,0
Condamnation de Marine Le Pen : le PS et le PCF ne manifesteront pas dimanche,0
"Après Stellantis, Nissan révise ses plans de production aux États-Unis",0
Conflit au Proche-Orient : l'armée israélienne lance une offensive dans l'est de Gaza-ville,0
"Champagne : la filière ""préoccupée"" mais combative face aux futurs droits de douane aux États-Unis",0
Les images terrifiantes de l'éruption du volcan le plus dangereux d'Indonésie,0
Liban : un cadre du Hamas et ses deux enfants tués dans un raid israélien,0
Séisme en Birmanie: le chef de la junte critiqué en marge d'un sommet régional,0
Un discours de Boualem Sansal en vente dans les librairies pour soutenir sa cause,0
"Municipales à Nantes : pour l'union de la droite et du centre, la bataille des chefs est lancée",0
Tinder va vérifier l'identité et l'âge de ses utilisateurs,0
"""Faisons un petit effort"" : le maire du Lavandou valide une aide de 10 euros par habitant pour financer la défense nationale",0
"""La mairie est devenue un guichet unique"" : à un an des municipales, les maires des communes rurales de Gironde aux défis des incivilités",0
Guerre en Ukraine : des frappes russes à Kharkiv font quatre morts et 35 blessés,0
"Droits de douane : Marine Le Pen appelle à un ""protectionnisme intelligent"" après l'offensive de Trump",0
Pression hiérarchique ou vengeance ? Quatre policiers jugés à Tarascon pour de fausses amendes,0
"Quart-temps, un seul service, public rajeuni… Un nouveau tennis dans les arènes de Nîmes",0
Donald Trump licencie le directeur de la NSA,0
"À Séoul, l'opposition exulte après la destitution du président Yoon Suk-yeol",0
""" Libérez Marine Le Pen ! "" : Donald Trump et JD Vance apportent leur soutien à la chef de file du Rassemblement national",0
"""Des juges rouges"" : Bruno Retailleau s'en prend au Syndicat de la magistrature",0
"Manifestation de soutien à Marine Le Pen : contrairement à l'""ultragauche"", Bardella dit être ""dans un esprit totalement pacifique""",0
Bruce Springsteen annonce la sortie en juin d'un coffret de chansons inédites,0
"Météo du vendredi 4 avril : une journée ensoleillée, digne d'un mois de mai",0
"Handball : le PSG humilié et sorti avant les quarts de Ligue des champions, une première dans l'ère qatarie",0
"Droits de douane : Wall Street termine en berne, plus forte baisse pour le S&P 500 depuis juin 2020",0
"Mort de Diego Maradona : il ""résistait"" aux soins médicaux, témoignent les sœurs de la légende argentine",0
Russie : le domicile du père d'un ancien proche de l'opposant Alexeï Navalny perquisitionné,0
"Manifestation RN : Bertrand craint un ""mauvais remake du Capitole"", Ciotti raille sa ""constance dans la médiocrité""",0
"États-Unis : le Pentagone va enquêter sur le ministre de la Défense après le ""Signalgate""",0
Trafic de drogue : le déménagement de classes de maternelle de Saint-Ouen approuvé par les parents d'élèves,0
"Âge légal, pénibilité, carrière des femmes : le ""conclave"" sur les retraites acte une nouvelle feuille de route",0
"Maroc : empêché de quitter le territoire, l'historien Maâti Monjib entame une nouvelle grève de la faim",0
"""C'est lamentable"" : Véronique Rabiot dénonce une ""justice à deux vitesses"" après les sanctions contre le PSG et le Parc des Princes",0
Un célèbre chirurgien esthétique mis en examen pour viols et agressions sexuelles,0
""" Ça démontre leur amateurisme "" : pourquoi les droits de douane de Donald Trump varient-ils autant dans les Outre-mer ?",0
"Groenland : ""Vous ne pouvez annexer un autre pays"", lance la première ministre danoise aux États-Unis",0
"""Que serait devenu Jacquet sans Zidane…"", la comparaison flatteuse de Mola sur la vie sans Dupont à Toulouse",0
LFI et les Écologistes appellent à un rassemblement contre l'extrême droite dimanche à Paris,0
"""Zizi challenge"" : un défi TikTok pris très au sérieux par la police",0
Double meurtre dans les Vosges : qui était le prêtre tué à coups de pierres ?,0
Harcèlement moral : 10 mois de prison avec sursis requis contre l'ex-secrétaire d'État Nathalie Elimas,0
Guerre en Ukraine: les États-Unis se retirent d'un groupe recueillant des preuves de crimes de guerre russes,0
Nanterre: un homme condamné à 17 ans de réclusion criminelle pour meurtre,0
Reims : 15 ans de prison requis contre deux accusés ayant frappé un étudiant à mort,0
"SNCF : un syndicat appelle à la grève le 7 mai, veille d'un jour férié",0
L'enseigne Gifi annonce la suppression de 302 postes et la fermeture de 11 magasins,0
"Bordeaux : le jeune homme agressé lors du carnaval sort enfin du coma, ses proches veulent retrouver ses agresseurs",0
"Les droits de douane européens sont-ils plus élevés que ceux appliqués par les États-Unis, comme le prétend Trump ?",0
"Paris-Roubaix : ""S'amuser sur le vélo et ne pas avoir de regrets"", Tadej Pogacar justifie son défi",0
"""Lutter contre l'immigration illégale"" : Rome va financer le rapatriement de migrants africains présents au Maghreb",0
Saint-Nazaire : une pelleteuse surprise par la vase et la marée bloquée sur une plage pendant trois jours,0
Marne : le septuagénaire suspecté d'avoir tué sa femme samedi mis en examen pour meurtre,0
"Un musée londonien reçoit en donation, un monumental triptyque signé Joan Mitchell",0
Toulon : un père et son fils arrêtés après être partis sans payer dans une quarantaine de restaurants en trois ans,0
"Groenland : Marco Rubio indique à son homologue danois qu'une ""relation forte"" unit leurs deux pays",0
Grèce : le ministre de la Justice veut interdire le recours à la GPA pour les couples d'hommes et les hommes célibataires,0
Près de Bordeaux : un homme couvert d'une trentaine de plaies retrouvé mort dans un squat,0
"Suspension des investissements, représailles de l'Europe… Ce qu'il faut retenir du discours de Macron sur les droits de douane de Trump",0
Marseille : un policier de la Bac condamné pour violences sur un étudiant,0
"Des singes dorés au zoo de Beauval, une première hors d'Asie",0
"Des perquisitions à Nice et dans une ""filiale"" de France Télévisions en lien avec Christian Estrosi et sa femme",0
"Après le séisme, la junte birmane tente de rompre son isolement",0
"Pays-Bas : une voiture incendiée après une ""explosion"" sur la place centrale d'Amsterdam",0
Un faux contrôleur repéré dans le métro lyonnais,0
États-Unis : deux morts dans de violentes tempêtes et tornades,0
"Foot : ""Ils voulaient clairement me passer à tabac"", un jeune arbitre dépose plainte après une tentative de séquestration",0
Vous mangez des asperges des bois ? Attention au risque d'intoxication,0
"Les 15-24 ans regardent plus de 5 heures de vidéos par jour, selon une étude de l'Arcom",0
Mer Égée : 16 migrants meurent dans deux naufrages distincts entre la Grèce et la Turquie,0
"""Une fois sa mission achevée"", Elon Musk restera ""un conseiller"" de Donald Trump, affirme JD Vance",0
"Audioprothèses : attention à la vente à domicile, dangereuse et interdite",0
"La fondation d'Elton John contre le sida classée "" indésirable "" en Russie",0
"Vins et spiritueux : les Européens veulent ""trouver des solutions"" pour échapper aux droits de douane",0
"Que vaut ""Mario Kart World"" ?Le Figaroa essayé en avant-première la Nintendo Switch 2 et ses premiers jeux",0
25 ans de réclusion pour l'employée de crèche qui avait tué un bébé,0
Bouches-du-Rhône : deux surveillants de prison blessés dans l'incendie d'une cellule,0
Droits de douane : Stellantis annonce la fermeture temporaire de l'usine canadienne de Chrysler,0
"Une île inhabitée, une base aérienne américaine… Ces territoires surprenants visés par les droits de douane de Trump",0
"L'auteur de l'assassinat de Carène Mézino, infirmière poignardée au CHU de Reims, déclaré pénalement irresponsable",0
"Espagne: quatre ans et neuf mois de prison requis contre Carlo Ancelotti, l'entraîneur du Real Madrid, pour fraude fiscale",0
"Avec la fin du privilège douanier sur les petits colis, Donald Trump torpille Shein et Temu",0
Russie : un homme condamné à 14 ans de prison pour un sabotage ferroviaire au profit de l'Ukraine,0
France : le gaz renouvelable progresse malgré un ralentissement des nouvelles installations,0
"Allemagne: le marché automobile en recul, les livraisons de Tesla aussi",0
"Précarité, infertilité, choix individuels… Pourquoi y a-t-il 25% de naissances de moins qu'il y a cinquante ans?",0
Droits de douane: EssilorLuxottica dévisse de 8% à la Bourse de Paris,0
"""Ce n'est pas la saison"" : en Malaisie, les recherches du vol MH370 suspendues à cause de la météo",0
Plusieurs personnes suspectées d'appartenir à un réseau d'aide au séjour irrégulier par la fourniture de titres de séjour en garde à vue,0
"Les Grands buffets de Narbonne dénoncent la récupération de leur nom par ""Les grands buffets de Lyon""",0
Russie : Sergueï Lavrov annonce une intensification de la coopération militaire avec le Mali,0
Val-de-Marne : un élève de 11 ans roue de coups son professeur après avoir reçu une punition,0
"Vente à la Chine ou reprise par ses salariés, le sort de Vencorex examiné au tribunal de commerce de Lyon",0
Marco Rubio appelle les pays de l'Otan à consacrer 5% de leur PIB à la défense,0
Marseille : un enfant de 12 ans blessé lors d'un violent cambriolage,0
La faiblesse du secteur des services plombe encore l'activité du privé en mars,0
Guerre en Ukraine : la Russie et la Biélorussie exclues de la hausse américaine des tarifs douaniers,0
"Droits de douane de Trump, la Hongrie annonce quitter la CPI, l'ONU dénonce une guerre ""sans limite"" à Gaza… Les 3 infos à retenir à la mi-journée",0
"Les Mousquetaires/Intermarché ""envisagent la fermeture"" d'une trentaine de magasins, 680 emplois concernés",0
Drôme : un lycéen en situation irrégulière placé en détention après un salut nazi devant une synagogue,0
"Foot : réalisations, buts décisifs… Les parallèles fascinants entre Kylian Mbappé et Cristiano Ronaldo",0
"Bruit d'explosion et coup de tonnerre en Vendée : un séisme de magnitude 3,6 enregistré cette nuit",0
Athlétisme : le projet révolutionnaire de Michael Johnson dans les starting-blocks à Kingston,0
Une place renommée en hommage à Gérard Collomb en plein cœur de la Part-Dieu à Lyon,0
Guerre en Ukraine : un négociateur russe annonce se rendre à Washington pour une réunion avec des représentants américains,0
"Saint-Ouen : Élisabeth Borne promet de ""réinstaller"" l'école susceptible de déménager à cause de dealers",0
"Une ex-conseillère du Quai d'Orsay condamnée à 500€ d'amende pour ""apologie du terrorisme""",0
"Après la polémique, le concert Solidarité Congo sera reprogrammé le 22 avril à Paris",0
"Meurtre de Philippine : un square à son nom va être inauguré à Montigny-le-Bretonneux, sa ville d'origine",0
La France et Israël veulent éviter que l'Iran obtienne l'arme nucléaire,0
"La Hongrie annonce son retrait de la Cour pénale internationale, Israël se félicite d'une ""position morale forte""",0
Sept morts dans le naufrage d'un bateau de migrants au large de la Grèce,0
"Droits de douane sur les vins : ""catastrophe"", ""conséquences extrêmement lourdes""… La filière sous le choc après les annonces de Trump",0
Droits de douane de Trump : le CAC 40 chute lourdement et perd plus de 2%,0
Jean Lassalle dans un seul en scène au théâtre en octobre,0
"À la maison d'arrêt de Nantes, un forum des métiers pour projeter les détenus sur l'après-prison",0
"Après le ""Signalgate"", le ""Gmailgate"" ? L'Administration Trump enchaîne les bourdes sécuritaires",0
"Droits de douane : les marchés plongent, le CAC 40 chute de 3,31% sa pire baisse depuis deux ans",0
"Tornades dévastatrices, tempêtes, inondations… Les États-Unis en proie à un évènement météorologique d'une rare violence",0
Droits de douane : l'UE se prépare à taxer les services numériques américains,0
Le président du Salvador Nayib Bukele confirme une rencontre avec Trump le 14 avril,0
"Proche-Orient : Emmanuel Macron ira mardi près de Gaza pour marquer sa mobilisation ""en faveur d'un cessez-le-feu""",0
"""Pourquoi ne parlerait-on pas de religion au travail ?"" : le rabbin d'Arcachon ouvre son cabinet en management du fait religieux",0
"Manifestation de soutien à Marine Le Pen : Jean-Luc Mélenchon dénonce un ""risque séditieux""",0
Déserts médicaux : l'Assemblée nationale adopte une régulation de l'installation des médecins,0
"""Année noire"" : la fonction publique se mobilise à l'appel de plusieurs syndicats",0
"Champions Cup : ""Voir Castres en 8e de finale, je trouve ça beau pour le club et la ville"", quand les héros de 2002 saluent leurs héritiers",0
Séisme en Birmanie: le bilan dépasse désormais les 3000 morts,0
La maire de Sainte-Foy-lès-Lyon réclame une aide financière à Rachida Dati pour couvrir le coût exorbitant de fouilles archéologiques,0
"""Bienvenue à Budapest!"" : Benyamin Netanyahou, sous le coup d'un mandat d'arrêt de la CPI, est arrivé en Hongrie",0
"Droits de douane de Donald Trump : Emmanuel Macron va réunir les ""représentants des filières impactées""",0
"Gaza : 15 secouristes retrouvés à Rafah dans une ""fosse commune"", l'ONU dénonce une ""guerre sans limite""",0
"Chine, Union européenne, Suisse… Quels droits de douane l'Administration Trump va-t-elle imposer aux pays ?",0
"Guerre commerciale : ""Il y a d'autres manières de réagir qu'en appliquant des droits de douane réciproques""",0
Une trentième victime des incendies de Los Angeles découverte,0
"Atlético Madrid-FC Barcelone : Yamal prodigieux, Griezmann poussiéreux, un Clasico pour une finale délicieuse… Les tops/flops",0
"Maillots vintage, ferveur familiale et cortège ultras : soir de fête à Cannes pour une demie de Coupe de France historique",0
"Droits de douane : après les annonces de Trump, le secteur des vins et spiritueux entre soulagement et inquiétude",0
Coupe du Roi : le Barça se débarrasse de l'Atlético de Griezmann et rejoint le Real en finale,0
"Incidents en tribunes : match perdu pour Montpellier, le virage Auteuil du Parc sanctionné après les banderoles contre Rabiot",0
"Taxes de 20% sur les produits européens, ""rendre l'Amérique riche à nouveau""… Ce qu'il faut retenir des annonces de Trump sur les droits de douane",0
"Incendie au sommet d'un immeuble à Lille, 200 personnes évacuées",0
"Coupe de France : fin du rêve pour l'AS Cannes, Reims défiera le PSG en finale",0
"Le réalisateur italien Nanni Moretti dans un "" état stable "" après sa crise cardiaque",0
"""Vive le sport et donc à bas le voile"" : Panot saisit le procureur de la République après la formule choc de Retailleau",0
"Bretagne : un enfant décède après avoir pris de la cocaïne, enquête pour homicide involontaire",0
"Une loi pour lutter contre les effets négatifs de la ""fast fashion"" examinée le 2 juin au Sénat",0
"""L'antisionisme fait office d'alibi"" : Macron dénonce un antisémitisme qui essaime à ""l'extrême gauche""",0
"Amazon est prétendant au rachat de TikTok, selon la presse",0
"Normes excessives, régulation des géants de la tech… Ce que les États-Unis reprochent vraiment à l'UE",0
Gouvernance du sport professionnel : la proposition de loi examinée au Sénat le 10 juin,0
"Toujours recherché par la justice, le chef serbe Milorad Dodik affirme être rentré en Bosnie",0
"""Je ne fais pas de la politique, je ne suis qu'un joueur de foot"" : huit mois de prison avec sursis requis en appel contre Youcef Atal",0
"Le Leqembi, médicament anti-Alzheimer très attendu en France, a fait sept morts aux États-Unis",0
Rennes : un individu condamné 24 fois mis en examen pour le viol et le meurtre d'une femme de 73 ans à son domicile,0
"Procès Le Pen : l'accélération du calendrier judiciaire n'est pas un ""désaveu"" de la décision, affirme la procureur générale de Paris",0
"Libye : une dizaine d'ONG internationales suspendues pour activités ""hostiles""",0
"Un programme de 16,7 millions d'euros lancé pour soutenir l'adhésion de l'Ukraine à l'UE",0
Washington étudie le coût d'acquisition du Groenland,0
"Après 100 ans d'absence, le loup gris est de retour dans les Landes",0
Double meurtre dans les Vosges : l'accusé toujours hospitalisé en psychiatrie,0
"Jusqu'à 23°C à Paris : des températures ""dignes d'une fin de mois de mai"" attendues en fin de semaine",0
"Rénovation de la Bonne Mère : à Marseille, LFI vent debout contre les aides publiques accordées",0
"Pierre Cazeneuve (Renaissance): ""Face au RN, il y a un devoir absolu d'exemplarité de François Bayrou""",0
"LFI veut inscrire le droit au logement dans la Constitution, à égalité avec le droit de propriété",0
"Météo du jeudi 3 avril : gris et humide sur la côte Atlantique, ailleurs le temps reste ensoleillé",0
Droits de douane : visualisez en une infographie la liste des mesures annoncées par Donald Trump à date,0
"Avec 6000 cas en une semaine, l'épidémie de chikungunya s'aggrave à La Réunion",0
"Tuberculose : face à la forte hausse des cas, le Royaume-Uni élabore un nouveau plan",0
"Elon Musk pourrait bientôt quitter son poste au sein du gouvernement américain, le patron de Tesla dénonce une ""fake news""",0
"Mark Rutte, le chef de l'Otan, affirme être convaincu que l'Alliance ""va durer, avec les États-Unis""",0
Un démocrate bat le record de parole au Sénat américain,0
Guerre en Ukraine : un tir de missile russe dans le centre du pays fait au moins quatre morts,0
"Foot : ""Le dialogue va se poursuivre"", la ministre des Sports réunira l'Instance nationale du supportérisme le 17 avril",0
"""Une confrontation militaire"" serait ""presque inévitable"" en cas d'échec de négociations sur le nucléaire avec l'Iran, affirme Jean-Noël Barrot",0
Otages d'État : la France va porter plainte contre l'Iran devant la Cour internationale de justice,0
"Près de Marseille, plus de trente autocars de la Régie des transports métropolitains dépouillés de leur pot catalytique",0
Menace de censure du RN : François Bayrou annonce un débat sur la stratégie énergétique au Parlement,0
Vallauris : la route où une fillette a été mortellement fauchée l'été dernier davantage sécurisée,0
"""Il est temps de mettre fin à la catastrophe écologique"" : inquiétude au Kazakhstan sur le futur de la mer Caspienne",0
"États-Unis : la justice classe l'affaire de corruption visant Eric Adams, le maire de New York",0
"""Des progrès ont été réalisés"" : accord à Chypre pour poursuivre le processus en vue d'une réunification",0
"Les États-Unis retirent son visa au prix Nobel Oscar Arias, qui dénonce un signe de ""l'autocratie"" américaine",0
"Prix, premiers jeux… Nintendo détaille sa console Switch 2, qui sortira le 5 juin",0
Warner mise gros avec le nouveauSupermanet le dernier film de Leonardo DiCaprio,0
Mohamed Amra accuse des agents pénitentiaires de violences durant sa détention,0
Lyon : la crèche fermée en urgence pour violences garde ses portes closes,0
"Tesla chute avant de se reprendre à Wall Street, après des rumeurs sur un départ d'Elon Musk de l'administration Trump",0
"""Rien ne justifie les pressions"" américaines sur le Groenland, déplore Paris",0
"Mort de Val Kilmer : Francis Ford Coppola, Josh Brolin, Cher… Hollywood rend hommage à l'acteur",0
"Au port de Lyon, l'armateur CMA-CGM prêt à doubler le fret sur le Rhône vers Marseille",0
Allier : quatre personnes mises en examen pour avoir torturé un homme,0
"Près d'un enfant placé sur deux est victime de violences sexuelles, indique une étude",0
"Marine Le Pen inéligible : la manifestation de soutien du RN ""n'est pas un coup de force"", affirme Jordan Bardella",0
"Accord de paix : l'Azerbaïdjan presse l'Arménie d'accepter ses ""demandes"" avant toute signature",0
"Géorgie : la loi sur les agents de l'étranger ""fondamentalement incompatible"" avec les valeurs de l'UE",0
