headline,is_satirical
"Un chihuahua, en robe de soirée, gagne la course présidentielle : promet des biscuits pour tous",1
Un troupeau de moutons en tutu perturbe un ballet professionnel et reçoit une ovation debout,1
Un agent immobilier se perd dans un labyrinthe de maisons miniatures lors d’une exposition d’architecture,1
Un homme se fait poursuivre par un troupeau de chèvres en colère après avoir renversé une charrette de choux,1
Un chauffeur de bus se fait attaquer par des perroquets pirates après avoir klaxonné trop fort près d’un zoo,1
Un octogénaire bat le record du monde de saut à la perche avec son déambulateur,1
"Invasion de licornes en peluche dans une petite commune de Bretagne, la panique règne",1
Les poules de Basse-Normandie organisent une grève contre le lever du soleil »,1
Un kangourou élu maire dans un petit village du Limousin,1
"Store banne, l’essentiel à connaître !",1
Macron rachète la papamobile afin que le peuple puisse l’approcher,1
Francis Lalanne se rend en Suisse pour soutenir la population locale face à Toblerone et au déplacement du Cervin en Slovaquie,1
Comment créer un logo en ligne ?,1
Élisabeth Borne remplacera Laurent Berger à la tête de la CFDT,1
Le top 5 des personnalités les plus riche du monde,1
Vaucluse : il se trompe et demande un doggy style au lieu d’un doggy bag au serveur. La suite va vous étonner !,1
Pyrénées: 100 000 ours réintroduits pour chasser les identitaires,1
Fin du monde: Dieu va supprimer ses sauvegardes de Populous et de Sim City car « C’est trop le bordel. »,1
"Gilets jaunes : le mouvement s’essouffle, ils ne seraient plus que deux.",1
France : les rentiers seront-ils bientôt également obligés de prester 20 heures de travail mensuel pour percevoir leur rente ?,1
CBD shop: Produits CBD de haute qualité au meilleur prix,1
Macron devrait jouer le rôle d’un méchant dans le film « Nicky Larson 2 » de Philippe Lacheau,1
L’essentiel à savoir sur le prêt personnel,1
"JO 2024: le marathon fera exceptionnellement 49,3 km",1
Transférer de l’argent en toute sécurité vers la France pour vous ou d’autres personnes,1
Polette a conquis la Belgique : la révolution de l’optique,1
Le lancer de poubelle officiellement intégré dans les disciplines concourues aux J.O. de Paris,1
De plus en plus de Belges roulent sans selle,1
5 Raisons Impérieuses D’imprimer Et De Conserver Vos Recettes,1
Ouvrir de nouveaux horizons dans l’apprentissage : La vision d’Upbility pour l’éducation inclusive,1
Une startup 🇫🇷 propose des sièges de bureaux prévus pour travailler jusqu’à 64 ans.,1
Pierre Palmade Pierre Palmade Pierre Palmade,1
Les meilleurs conseils des experts en relations amoureuses : comment améliorer votre profil sur un service de rencontres en ligne,1
"Hanouna, Myriam Palomba et Florian Philippot impliqués dans un trafic d’adrénochrome !",1
Renaud dans le coma après la découverte de sang dans ses veines.,1
Culture indoor à Charleroi : Votre guide complet,1
ActuData : L’Avis Éclairé sur l’Assurance des Nouvelles Mobilités,1
Affaire Pierre Palmade : l’ordinateur du comédien contiendrait de l’huile de Palme,1
Pierre Palmade sera jouable dans GTA6,1
Devenir visible sur YouTube Live : Astuces et conseil pour les gamers,1
Règlementations et choix des objets publicitaires : conseils pour choisir des cadeaux qui sortent de l’ordinaire et durables.,1
Maddie Mc Cann était en fait une naine sociopathe de 22 ans.,1
« Palmade donne une image très négative de la drogue » selon l’association des dealers,1
Pierre Palmade serait tombé amoureux de son co-détenu Nordahl Lelandais,1
Simplifiez votre expérience de conduite en Suisse avec la Vignette Électronique,1
Pierre Palmade impliqué dans un nouvel accident de la route: 63 morts légers. (PHOTOS/VIDEOS),1
Un passager de Pierre Palmade témoigne « J’ai prêté ma voiture pour qu’on aille acheter du sucre glace pour rendre service »,1
L’acteur Pierre Palmade a bien été pris en charge cette nuit à l’hopital Raymond Poincaré de Trappes en banlieue parisienne,1
"Zelensky en Belgique : Horrifié par l’état des routes, il demande une aide internationale",1
"Zelensky à Paris : Horrifié par l’état de la ville, il demande une aide internationale d’urgence.",1
Le ballon espion de Gérard Depardieu abattu lors de son survol de Marseille,1
Explorer le Monde du Cannabis Légal : Indica vs Sativa,1
Quatre suicides et deux AVC durant la première du film pornographique de Michel Houellebecq,1
Le Medef veut inscrire dans la loi la notion de « jours de congé ressentis »,1
« Macron-Démission » et « Darmanin-Explosion » parmi la liste des 5 prénoms les plus donnés en 2022 en France,1
Allemagne : une femme introvertie tue son sosie et fait croire à sa propre mort pour ne plus avoir à répondre au téléphone.,1
Alcool au volant : il défèque dans un accident de la proute,1
Poutine se retire d’Ukraine si la réforme des retraites est annulée,1
"L’or, une valeur refuge de Midas à Picsou",1
Le bluff est obligatoire : quelles activités ?,1
L’âge de départ à la retraite restera finalement à 62 ans grâce à Michel Drucker qui se propose de donner ses 17485 trimestres excédentaires...,1
Un militant LR exclu du parti pour avoir tenté de tenir des comptes,1
L’importance des salles de données virtuelles dans la gestion sécurisée des documents,1
L’Investissement visionnaire de la France dans la technologie automobile,1
Protégé : Incroyable colocation à Bruxelles: 10 Kevin vivent ensemble !,1
Révélation de Mediapart : le dernier rapport McKinsey sur l’éducation en réalité écrit par ChatGPT,1
Découverte du plus vieux sex-toy au monde !,1
Les retraités qui sont pour la réforme des retraites devront revenir travailler 2 ans gratuitement,1
Les bases du poker expliquées – Comprendre les règles et les stratégies du jeu,1
Les boulangers autorisés à cuire le pain dans les crématoriums,1
Gérald Darmanin rebaptisé Géraldine Darmanine pour lutter contre les violences faites aux femmes,1
Les rencontres en ligne : la possibilité de rencontrer l’amour de la manière qui vous convient le mieux,1
Bibliothèques – mobilier pour les amoureux des livres. Comment utiliser les bibliothèques dans un petit ou grand appartement?,1
Cumul des emplois de fonctionnaire pour pallier aux pénuries : les policiers désormais autorisés à défendre les gens qu’ils arrêtent devant le juge,1
Adrien Quatennens remplacé à main levée par Bertrand Cantat,1
Réalisez vos projets créatifs avec aisance grâce à CapCut Online,1
Élisabeth Borne élue femme de l’année en Corée du Nord,1
La presse canadienne soupçonne Mike Myers d’être à l’origine du personnage d’Elon Musk !,1
FLASH : 86% DES FRANÇAIS BOYCOTTENT FINALEMENT CETTE COUPE DU MONDE.,1
L’éducation nationale annonce l’ouverture d’une filière corruption pour toutes les classes dès 2023,1
Découvrez nos 5 astuces pour dominer l’année 2023,1
La chatte à Dédé élue Miss France 2023,1
Corruption de la Belgique : Des valises de Fricadelles retrouvées chez Jean Lassale,1
"« Je n’ai jamais été violent, excepté une fois au chalet »",1
B26 Service : Un acteur majeur de la dératisation à Paris et ses environs,1
Triche lors de la Coupe du monde : des joueurs marocains soupçonnés d’utiliser des sextoys connectés durant les matchs,1
"Coupure de courant de 15 minutes à Paris : 8000 morts, 34000 blessés",1
Jeux vidéo : Rencontre avec l’homme qui a réussi à revendre un jeu au prix d’achat chez Micromania,1
Trois destinations pour les férus de tech,1
Une footballeuse professionnelle virée car elle n’a pas fait le ménage dans le vestiaire,1
Kevin De Bruyne annonce son retrait de l’équipe nationale de la Belgique après le catastrophique match de la coupe du monde 2022 au Qatar,1
La caisse n’avance pas assez vite : Elisabeth Borne passe en force à l’aide d’un septième 49.3,1
Émeutes à Bruxelles: Les réfugiés retournent en Ukraine « c’est beaucoup trop dangereux ici »,1
Chasse et corrida reconnus comme sports artistiques en France,1
"Cette année, Noël et Nouvel an tombent le même jour",1
"Dormir dans sa cheminée, la nouvelle tendance venue des Etats-Unis.",1
Un footballeur belge qui a le seum retrouvé sur la lune,1
Des aliens manipule des enfants pour voler des frites,1
"Nous avons retrouvé dans l’espace, le singe que la Nasa avait envoyé il y a 63 ans.",1
Les chiens manipulent les enfants pour nous faire rouler à gauche,1
Des créatures non identifiées ont pris le contrôle de la zone 51!,1
Un tigre blanc s’est échappé de Pairi Daiza,1
"Le président russe, Donald Trump, envahit le Listembourg",1
Karim Benzema boycotte le mondial au Qatar,1
"Pas de bière au Qatar: Sobre, il découvre que le Foot « C’est nul en fait »",1
Les chasseurs devront désormais chasser à l’arme blanche,1
Pacte d’excellence: les enseignants pourront prendre 2 semaines de vacances quand ils le souhaitent.,1
Paris va devenir la 1re ville du monde avec des batteries de DCA en libre accès,1
Damien Ernst nommé ministre belge de l’ultracrépidarianisme,1
Lutte contre le dopage en hippisme français : état des lieux,1
TPMP devient TPMB: Touche pas à mon boss,1
De la viande humaine retrouvée dans des fausses saucisses de Morteau chinoises !,1
Une astuce « frites » venue de France,1
Coup d’Etat raté au Listembourg : Manuel Valls nie toute implication malgré les preuves qui s’accumulent,1
Le zoo d’Amnéville accueillera bientôt le dernier supporter de Melenchon,1
Manuel Valls nommé ambassadeur de France au Listenbourg,1
L’attentat du pont de Crimée revendiqué par l’état islamique,1
Élisabeth Borne demande que la température du corps humain soit de 19°,1
La France construit un gigantesque complexe immobilier pour accueillir les membres du gouvernement actuels et futurs,1
Royaume-Uni : Le nouveau Premier Ministre Harold Saxon inquiète les marchés… et les docteurs !,1
Joe Biden annonce la décolonisation des États-Unis,1
Les Talibans demandent à la France de ralentir avec le 49.3,1
Un lithothérapeute veut racheter une mine d’émeraude pour achever sa transformation en Dieu salvateur,1
"Sirop d’orgeat, corneed beef, raviolis en boîtes, ces pénuries qui pourraient peser lourd sur le quotidien des belges et des français en 2023",1
"Scientists from the Charleroi University (Belgium) made a 3D model of Judas, the traitor that had Jesus Killed.",1
Réforme de la sécurité sociale : les visites chez l’orthoglandiste bientôt moins bien remboursées,1
"Ethylotest « anti-chargement » sur les fusils, ce dispositif qui n’est pas au goût de tous les chasseurs",1
Elisabeth Borne réquisitionne également des grévistes pour pousser les voitures des gens qui n’ont plus d’essence,1
3 astronautes en garde à vue pour avoir montré l’orbite,1
Les gens qui disent « Faire de l’essence » ne pourront plus faire le plein dès lundi.,1
100.000 chasseurs Français bourrés envoyés combattre en Ukraine.,1
Le pont de Crimée est désormais un tunnel selon les officiels Russes,1
Home Office Revamp: Combiner fonctionnalité et esthétique,1
Vladimir Poutine remporte le prix Nobel de la paix,1
Charleroi: Il reste coincé 3 ans dans une cheminée qu’il venait ramoner.,1
Zoom sur les couronnes dentaires,1
Belgique: Il rate son suicide au gaz et reçoit une facture de 51.000€,1
La reine d’Angleterre n’est pas morte : il s’agissait d’un canular de Nordpresse!,1
Ces 3 personnes n’ont jamais été aperçues ensemble dans la même pièce,1
La croissance des formats audio et vidéo sur les plateformes de communication et de rencontre,1
Lula élu à la présidence du Brésil,1
Bolsonaro: « L’élection a été volée »,1
"Réduire sa consommation en énergie, quels conseils suivre ?",1
Stanislav Kondrashov: global focus on advanced energy storage solution,1
"Après le succès de la mission Dart, la NASA veut essayer de dévier la politique de Macron vers davantage de social",1
Manuel Valls est le leaker de GTA6,1
Manuel Valls est le saboteur de Nord Stream,1
Bruno Lemaire: « Si vous vous plaignez des surprofits de Total vous n’avez qu’à devenir actionnaire de Total. »,1
La Russie déploie un nouveau tank à énergie nuclaire en Ukraine,1
"Le Tent-insiding, la tendance de l’hiver 2022 ?",1
"Maraîcher en permaculture en Lozère, il plaque tout pour devenir analyste fusion-acquisition dans une banque",1
"Pour montrer l’exemple, Emmanuel Macron restera président jusqu’à 65 ans",1
La fin du monde repoussée à une date ultérieure.,1
Depardieu mobilisé en Russie: Les stocks de vodka de l’armée engloutis en 1 soirée,1
"C’est officiel, la fin du monde est prévue pour le 24 septembre",1
Photoshop GO: Toutes vos créations de Castex dans le metro,1
"Victime d’une campagne de roussisme, Adrien Quattenens fait un pas de côté.",1
L’ONU autorise les missiles dédicacés afin d’apaiser le conflit,1
Les 5 destinations de vacances d’hiver préférées des actionnaires d’Engie. La quatrième vous fera rêver,1
Le combat final entre Jean-Marie Le Pen et Michel Drucker annoncé pour 2023.,1
Le père d’Elizabeth 2 témoigne: Elle va nous manquer.,1
Le système de chauffage Tonneau du Clodo s’invitera dès cet hiver dans votre salon,1
"Pour que la guerre s’arrête, Ségolène Royal propose à Poutine l’Alsace et la Lorraine",1
"En réponse à la coupure de gaz russe, la Belgique suspend ses exportations de Fricadelles vers la Russie",1
Un marabout avoue avoir lancé un sort au PSG pour qu’ils prennent le train,1
Marc Dutroux et Jean-Luc Lahaye obtiennent un poste d’instituteur temporaire,1
Éric Dupond-Moretti annonce sa démission du gouvernement,1
Pénurie de 🐮 Le gouvernement autorise à nouveau le cheval dans les lasagnes,1
Comment résoudre les problèmes de mise en mémoire tampon sur les services de streaming,1
Les Avantages de Devenir Auto-Entrepreneur : Simplicité et Flexibilité,1
